키워드,광고그룹,검색유형,품질평가점수,광고 관련성,예상 CTR,방문 페이지,노출수,클릭수,CTR,평균 CPC,비용,구독 신청,고객 아님
홈트레이닝 클래스,홈트 클래스,구문검색,10,평균 이상,평균 이상,평균 이상,3675,347,9.44%,1742,604356,12.00,
홈트 온라인 강의,홈트 클래스,구문검색,10,평균 이상,평균 이상,평균 이상,3703,413,11.15%,1056,436167,20.00,
홈핏 루틴,홈핏 브랜드,일치검색,10,평균 이상,평균 이상,평균 이상,359,85,23.68%,159,13501,10.00,
홈핏 다이어트,홈핏 브랜드,일치검색,10,평균 이상,평균 이상,평균 이상,371,103,27.76%,118,12169,4.00,
홈핏 홈트,홈핏 브랜드,일치검색,10,평균 이상,평균 이상,평균 이상,313,87,27.80%,123,10716,10.00,
홈핏 트레이닝,홈핏 브랜드,일치검색,10,평균 이상,평균 이상,평균 이상,285,67,23.51%,122,8157,6.00,
홈핏 운동,홈핏 브랜드,일치검색,10,평균 이상,평균 이상,평균 이상,355,53,14.93%,133,7030,2.00,
홈핏 프로그램,홈핏 브랜드,일치검색,10,평균 이상,평균 이상,평균 이상,126,31,24.60%,117,3621,2.00,
